n1,n2,g,r11,r12,r21,prop_uncorrelated,h2,threshold,ld,k11,k12,k21,k22,ALG1,ALG2,ALG4,mash,metasoft,hteqtl
400,400,1000,0.3,0.3,0.3,0,0.2,0.96,0,7,3,3,7,2.72,3.92000000000003,30.18,34.25,47.03,108.96
400,400,6000,0.3,0.3,0.3,0,0.2,0.96,0,7,3,3,7,8.35000000000001,29.52,102.97,148.11,86.5499999999999,144.08
400,400,11000,0.3,0.3,0.3,0,0.2,0.96,0,7,3,3,7,14.01,27.22,90.88,266.45,135.69,194.2
400,400,16000,0.3,0.3,0.3,0,0.2,0.96,0,7,3,3,7,19.57,33.58,117.37,393.8,196.59,221.46
400,400,21000,0.3,0.3,0.3,0,0.2,0.96,0,7,3,3,7,25.95,85.32,158.47,534.43,259,223.26
400,400,26000,0.3,0.3,0.3,0,0.2,0.96,0,7,3,3,7,33.03,79.2400000000001,232.94,619.62,298.56,220.5
400,400,31000,0.3,0.3,0.3,0,0.2,0.96,0,7,3,3,7,38.18,96.38,266.29,810.72,338.83,267.54
400,400,36000,0.3,0.3,0.3,0,0.2,0.96,0,7,3,3,7,43.2900000000001,80.26,255.4,858.14,382.78,265.56
400,400,41000,0.3,0.3,0.3,0,0.2,0.96,0,7,3,3,7,50.03,98.72,292.88,983.31,429.09,251.88
400,400,46000,0.3,0.3,0.3,0,0.2,0.96,0,7,3,3,7,55.0400000000001,112.42,332.38,1132.88,509.89,332.06
