trait,h2_total,h2_eQTL,h2_mQTL,h2,se,GWAS,Type,eQTL_num_SNP,eQTL_num_hotspot,mQTL_num_SNP,mQTL_num_hotspot
AFibNG2018.used.txt.gz,0.025,0.021,0.0209,0.025,0.0034,Atrial_fibrillation,d,279,3,279,13
AIS_Genomewide_Summmary_Stats_TSRH.tsv.valid.gz,0.1626,0.1626,0.1647,0.1626,0.0214,Adolescent_idiopathic_scoliosis,d,627,5,627,16
autism.txt.gz,0.1065,0.1062,0.1055,0.1065,0.0861,Autism_spectrum_disorder_or_schizophrenia,d,136,4,136,9
basal_cell_carcinoma.tsv.gz,0.0328,0.0326,0.0289,0.0328,0.0049,Basal_cell_carcinoma,d,148,6,148,17
CARDIoGRAM_GWAS_RESULTS.txt.gz,0.074,0.0745,0.0734,0.074,0.0085,Cardiovascular_disease,d,265,5,265,16
Celiac_disease.tsv.gz,0.2487,0.2203,0.2056,0.2487,0.0465,Celiac_disease,d,103,3,103,17
Colorectal_Cancer_All_by_1000genomes_Imputation_20141127.csv.gz,0.0597,0.0571,0.054,0.0597,0.0167,Colorectal_cancer,d,165,3,165,14
copd.tsv.gz,0.0601,0.056,0.0565,0.0601,0.0057,Chronic_obstructive_pulmonary_disease,d,141,6,141,9
GallagherCS_31649266_UterineFibroids.stats.gz,0.0249,0.0217,0.0225,0.0249,0.0028,Uterine_fibroids,d,77,3,77,10
imputed_BCAC_Overall_BreastCancer_EUR.txt.gz,0.1101,0.1057,0.1058,0.1101,0.0095,Breast_cancer,d,406,4,406,11
imputed_CARDIoGRAM_C4D_CAD_ADDITIVE.txt.gz,0.0666,0.0654,0.0649,0.0666,0.0042,Coronary_artery_disease,d,601,5,601,13
imputed_CNCR_Insomnia_all.txt.gz,0.0496,0.0479,0.0481,0.0496,0.0047,Insomnia,d,324,4,324,15
imputed_EAGLE_Eczema.txt.gz,0.0236,0.0202,0.0215,0.0236,0.0054,Eczema,d,179,2,179,15
imputed_IBD.EUR.Crohns_Disease.txt.gz,0.4713,0.4459,0.4365,0.4713,0.0527,Crohns_disease,d,305,4,305,9
imputed_IBD.EUR.Inflammatory_Bowel_Disease.txt.gz,0.3136,0.2904,0.2824,0.3136,0.0297,Inflammatory_bowel_disease,d,298,6,298,14
imputed_IBD.EUR.Ulcerative_Colitis.txt.gz,0.2542,0.2334,0.2268,0.2542,0.029,Ulcerative_colitis,d,161,6,161,15
imputed_IGAP_Alzheimer.txt.gz,0.0982,0.0834,0.0834,0.0982,0.0127,Alzheimers_disease_or_family_history_of_Alzheimers_disease,d,116,2,116,9
imputed_IMMUNOBASE_Systemic_lupus_erythematosus_hg19.txt.gz,0.2825,0.2732,0.2674,0.2825,0.044,Systemic_lupus_erythematosus,d,364,7,364,15
imputed_pgc.scz2.txt.gz,0.241,0.2368,0.2369,0.241,0.0085,Schizophrenia,d,585,3,585,7
imputed_SSGAC_Depressive_Symptoms.txt.gz,0.0547,0.0531,0.0526,0.0547,0.0032,Depressive_symptoms,d,301,6,301,15
imputed_UKB_20002_1065_self_reported_hypertension.txt.gz,0.1142,0.1106,0.1111,0.1142,0.0043,Hypertension,d,131,2,131,10
imputed_UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt.txt.gz,0.0125,0.0105,0.0104,0.0125,0.002,Venous_thromboembolism,d,80,6,80,11
imputed_UKB_20002_1111_self_reported_asthma.txt.gz,0.0532,0.048,0.0488,0.0532,0.0044,Asthma,d,552,7,552,16
imputed_UKB_20002_1222_self_reported_type_1_diabetes.txt.gz,-0.0011,-0.001,-0.001,-0.0011,0.0012,Type_1_diabetes,d,165,5,165,13
imputed_UKB_20002_1223_self_reported_type_2_diabetes.txt.gz,0.0066,0.0064,0.0066,0.0066,0.0014,Type_2_diabetes,d,1490,7,1490,14
