n1,n2,g,r11,r12,r21,prop_uncorrelated,h2,threshold,ld,k11,k12,k21,k22,ALG1,ALG2,ALG4,mash,metasoft,hteqtl
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,2,3,3,7,1.764,3.721,13.464,29.542,0.826999999999998,8.63799999999999
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,3,3,3,7,2.108,4.291,16.118,35.957,2.72800000000001,11.511
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,4,3,3,7,2.466,4.777,16.082,41.457,3.20099999999999,10.02
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,5,3,3,7,2.826,6.064,17.704,52.04,7.19999999999999,8.60499999999999
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,6,3,3,7,3.32,6.524,19.779,58.457,14.721,10.079
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,7,3,3,7,3.632,10.683,23.325,75.82,33.043,23.941
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,8,3,3,7,3.992,9.45600000000001,23.185,91.339,81.128,14.484
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,9,3,3,7,4.51600000000001,8.466,24.407,111.087,180.197,31.547
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,10,3,3,7,4.965,8.77,25.52,121.481,352.318,38.893
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,11,3,3,7,5.38,10.797,27.197,150.221,811.22,79.1690000000001
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,12,3,3,7,5.838,11.874,27.617,165.486,3450.794,153.509
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,14,3,3,7,6.756,10.324,30.387,215.295,6901.588,307.018
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,15,3,3,7,7.162,10.968,31.589,275.743,13803.176,614.036
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,16,3,3,7,7.664,11.693,33.121,273.967,27606.352,1228.072
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,17,3,3,7,8.216,12.581,34.705,292.284,55212.704,2456.144
400,400,60,0.3,0.3,0.3,0,0.2,0.96,0,18,3,3,7,8.694,13.301,36.189,342.892,110425.408,4912.288
