.,ld,theta
0.807697917829614,0,0.25
0.803460198121526,0.05,0.25
0.796572925833022,0.1,0.25
0.790310373191449,0.15,0.25
0.781913461517338,0.2,0.25
0.778518517458546,0.25,0.25
0.759651070241017,0.3,0.25
0.740246746911099,0.35,0.25
0.722921002909394,0.4,0.25
0.777157883365267,0,0.15
0.775827254269375,0.05,0.15
0.772800358788921,0.1,0.15
0.766577815241056,0.15,0.15
0.758626061552286,0.2,0.15
0.739875668016358,0.25,0.15
0.732542498393425,0.3,0.15
0.712860327833423,0.35,0.15
0.70211526503932,0.4,0.15
0.721543222409031,0,0.05
0.718253051956815,0.05,0.05
0.713212876827736,0.1,0.05
0.711504750480102,0.15,0.05
0.689446929486036,0.2,0.05
0.679996062305931,0.25,0.05
0.674646866170874,0.3,0.05
0.655093326074505,0.35,0.05
0.643121272232451,0.4,0.05
0.6718497857797,0,0.01
0.670135195296612,0.05,0.01
0.669785068935127,0.1,0.01
0.663265762174681,0.15,0.01
0.634081119112759,0.2,0.01
0.624361086478885,0.25,0.01
0.617843014531989,0.3,0.01
0.588282333469751,0.35,0.01
0.572462964376215,0.4,0.01
